RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
ANTO.L,2021-04-02,2.5053,9.0541,5.6807
ANTO.L,2021-04-03,2.5053,9.0541,5.6807
ANTO.L,2021-04-04,2.5053,9.0541,5.6807
ANTO.L,2021-04-05,2.5053,9.0541,5.6807
ANTO.L,2021-04-06,2.5053,9.0541,5.6807
ANTO.L,2021-04-07,2.5053,9.0541,5.6807
ANTO.L,2021-04-08,2.5053,9.0541,5.6807
ANTO.L,2021-04-09,2.5053,9.0541,5.6807
ANTO.L,2021-04-10,2.5053,9.0541,5.6807
ANTO.L,2021-04-11,2.5053,9.0541,5.6807
ANTO.L,2021-04-12,2.5053,9.0541,5.6807
ANTO.L,2021-04-13,2.5053,9.0541,5.6807
ANTO.L,2021-04-14,2.5053,9.0541,5.6807
ANTO.L,2021-04-15,2.5053,9.0541,5.6807
ANTO.L,2021-04-16,2.5053,9.0541,5.6807
ANTO.L,2021-04-17,2.5053,9.0541,5.6807
ANTO.L,2021-04-18,2.5053,9.0541,5.6807
ANTO.L,2021-04-19,2.5053,9.0541,5.6807
ANTO.L,2021-04-20,2.5053,9.0541,5.6807
ANTO.L,2021-04-21,2.5053,9.0541,5.6807
ANTO.L,2021-04-22,2.5053,9.0541,5.6807
ANTO.L,2021-04-23,2.5053,9.0541,5.6807
ANTO.L,2021-04-24,2.5053,9.0541,5.6807
ANTO.L,2021-04-25,2.5053,9.0541,5.6807
ANTO.L,2021-04-26,2.5053,9.0541,5.6807
ANTO.L,2021-04-27,2.5053,9.0541,5.6807
ANTO.L,2021-04-28,2.5053,9.0541,5.6807
ANTO.L,2021-04-29,2.5053,9.0541,5.6807
ANTO.L,2021-04-30,2.5053,9.0541,5.6807
ANTO.L,2021-05-01,2.5053,9.0541,5.6807
ANTO.L,2021-05-02,2.5053,9.0541,5.6807
ANTO.L,2021-05-03,2.5053,9.0541,5.6807
ANTO.L,2021-05-04,2.5053,9.0541,5.6807
ANTO.L,2021-05-05,2.5053,9.0541,5.6807
ANTO.L,2021-05-06,2.5053,9.0541,5.6807
ANTO.L,2021-05-07,2.5053,9.0541,5.6807
ANTO.L,2021-05-08,2.5053,9.0541,5.6807
ANTO.L,2021-05-09,2.5053,9.0541,5.6807
ANTO.L,2021-05-10,2.5053,9.0541,5.6807
ANTO.L,2021-05-11,2.5053,9.0541,5.6807
ANTO.L,2021-05-12,2.5053,9.0541,5.6807
ANTO.L,2021-05-13,2.5053,9.0541,5.6807
ANTO.L,2021-05-14,2.5053,9.0541,5.6807
ANTO.L,2021-05-15,2.5053,9.0541,5.6807
ANTO.L,2021-05-16,2.5053,9.0541,5.6807
ANTO.L,2021-05-17,2.5053,9.0541,5.6807
ANTO.L,2021-05-18,2.5053,9.0541,5.6807
ANTO.L,2021-05-19,2.5053,9.0541,5.6807
ANTO.L,2021-05-20,2.5053,9.0541,5.6807
ANTO.L,2021-05-21,2.5053,9.0541,5.6807
ANTO.L,2021-05-22,2.5053,9.0541,5.6807
ANTO.L,2021-05-23,2.5053,9.0541,5.6807
ANTO.L,2021-05-24,2.5053,9.0541,5.6807
ANTO.L,2021-05-25,2.5053,9.0541,5.6807
ANTO.L,2021-05-26,2.5053,9.0541,5.6807
ANTO.L,2021-05-27,2.5053,9.0541,5.6807
ANTO.L,2021-05-28,2.5053,9.0541,5.6807
ANTO.L,2021-05-29,2.5053,9.0541,5.6807
ANTO.L,2021-05-30,2.5053,9.0541,5.6807
ANTO.L,2021-05-31,2.5053,9.0541,5.6807
ANTO.L,2021-06-01,2.5053,9.0541,5.6807
ANTO.L,2021-06-02,2.5053,9.0541,5.6807
ANTO.L,2021-06-03,2.5053,9.0541,5.6807
ANTO.L,2021-06-04,2.5053,9.0541,5.6807
ANTO.L,2021-06-05,2.5053,9.0541,5.6807
ANTO.L,2021-06-06,2.5053,9.0541,5.6807
ANTO.L,2021-06-07,2.5053,9.0541,5.6807
ANTO.L,2021-06-08,2.5053,9.0541,5.6807
ANTO.L,2021-06-09,2.5053,9.0541,5.6807
ANTO.L,2021-06-10,2.5053,9.0541,5.6807
ANTO.L,2021-06-11,2.5053,9.0541,5.6807
ANTO.L,2021-06-12,2.5053,9.0541,5.6807
ANTO.L,2021-06-13,2.5053,9.0541,5.6807
ANTO.L,2021-06-14,2.5053,9.0541,5.6807
ANTO.L,2021-06-15,2.5053,9.0541,5.6807
ANTO.L,2021-06-16,2.5053,9.0541,5.6807
ANTO.L,2021-06-17,2.5053,9.0541,5.6807
ANTO.L,2021-06-18,2.5053,9.0541,5.6807
ANTO.L,2021-06-19,2.5053,9.0541,5.6807
ANTO.L,2021-06-20,2.5053,9.0541,5.6807
ANTO.L,2021-06-21,2.5053,9.0541,5.6807
ANTO.L,2021-06-22,2.5053,9.0541,5.6807
ANTO.L,2021-06-23,2.5053,9.0541,5.6807
ANTO.L,2021-06-24,2.5053,9.0541,5.6807
ANTO.L,2021-06-25,2.5053,9.0541,5.6807
ANTO.L,2021-06-26,2.5053,9.0541,5.6807
ANTO.L,2021-06-27,2.5053,9.0541,5.6807
ANTO.L,2021-06-28,2.5053,9.0541,5.6807
ANTO.L,2021-06-29,2.5053,9.0541,5.6807
ANTO.L,2021-06-30,2.5053,9.0541,11.049
ANTO.L,2021-07-01,2.5053,9.0541,11.049
ANTO.L,2021-07-02,2.5053,9.0541,11.049
ANTO.L,2021-07-03,2.5053,9.0541,11.049
ANTO.L,2021-07-04,2.5053,9.0541,11.049
ANTO.L,2021-07-05,2.5053,9.0541,11.049
ANTO.L,2021-07-06,2.5053,9.0541,11.049
ANTO.L,2021-07-07,2.5053,9.0541,11.049
ANTO.L,2021-07-08,2.5053,9.0541,11.049
ANTO.L,2021-07-09,2.5053,9.0541,11.049
ANTO.L,2021-07-10,2.5053,9.0541,11.049
ANTO.L,2021-07-11,2.5053,9.0541,11.049
ANTO.L,2021-07-12,2.5053,9.0541,11.049
ANTO.L,2021-07-13,2.5053,9.0541,11.049
ANTO.L,2021-07-14,2.5053,9.0541,11.049
ANTO.L,2021-07-15,2.5053,9.0541,11.049
ANTO.L,2021-07-16,2.5053,9.0541,11.049
ANTO.L,2021-07-17,2.5053,9.0541,11.049
ANTO.L,2021-07-18,2.5053,9.0541,11.049
ANTO.L,2021-07-19,2.5053,9.0541,11.049
ANTO.L,2021-07-20,2.5053,9.0541,11.049
ANTO.L,2021-07-21,2.5053,9.0541,11.049
ANTO.L,2021-07-22,2.5053,9.0541,11.049
ANTO.L,2021-07-23,2.5053,9.0541,11.049
ANTO.L,2021-07-24,2.5053,9.0541,11.049
ANTO.L,2021-07-25,2.5053,9.0541,11.049
ANTO.L,2021-07-26,2.5053,9.0541,11.049
ANTO.L,2021-07-27,2.5053,9.0541,11.049
ANTO.L,2021-07-28,2.5053,9.0541,11.049
ANTO.L,2021-07-29,2.5053,9.0541,11.049
ANTO.L,2021-07-30,2.5053,9.0541,11.049
ANTO.L,2021-07-31,2.5053,9.0541,11.049
ANTO.L,2021-08-01,2.5053,9.0541,11.049
ANTO.L,2021-08-02,2.5053,9.0541,11.049
ANTO.L,2021-08-03,2.5053,9.0541,11.049
ANTO.L,2021-08-04,2.5053,9.0541,11.049
ANTO.L,2021-08-05,2.5053,9.0541,11.049
ANTO.L,2021-08-06,2.5053,9.0541,11.049
ANTO.L,2021-08-07,2.5053,9.0541,11.049
ANTO.L,2021-08-08,2.5053,9.0541,11.049
ANTO.L,2021-08-09,2.5053,9.0541,11.049
ANTO.L,2021-08-10,2.5053,9.0541,11.049
ANTO.L,2021-08-11,2.5053,9.0541,11.049
ANTO.L,2021-08-12,2.5053,9.0541,11.049
ANTO.L,2021-08-13,2.5053,9.0541,11.049
ANTO.L,2021-08-14,2.5053,9.0541,11.049
ANTO.L,2021-08-15,2.5053,9.0541,11.049
ANTO.L,2021-08-16,2.5053,9.0541,11.049
ANTO.L,2021-08-17,2.5053,9.0541,11.049
ANTO.L,2021-08-18,2.5053,9.0541,11.049
ANTO.L,2021-08-19,2.5053,9.0541,11.049
ANTO.L,2021-08-20,2.5053,9.0541,11.049
ANTO.L,2021-08-21,2.5053,9.0541,11.049
ANTO.L,2021-08-22,2.5053,9.0541,11.049
ANTO.L,2021-08-23,2.5053,9.0541,11.049
ANTO.L,2021-08-24,2.5053,9.0541,11.049
ANTO.L,2021-08-25,2.5053,9.0541,11.049
ANTO.L,2021-08-26,2.5053,9.0541,11.049
ANTO.L,2021-08-27,2.5053,9.0541,11.049
ANTO.L,2021-08-28,2.5053,9.0541,11.049
ANTO.L,2021-08-29,2.5053,9.0541,11.049
ANTO.L,2021-08-30,2.5053,9.0541,11.049
ANTO.L,2021-08-31,2.5053,9.0541,11.049
ANTO.L,2021-09-01,2.5053,9.0541,11.049
ANTO.L,2021-09-02,2.5053,9.0541,11.049
ANTO.L,2021-09-03,2.5053,9.0541,11.049
ANTO.L,2021-09-04,2.5053,9.0541,11.049
ANTO.L,2021-09-05,2.5053,9.0541,11.049
ANTO.L,2021-09-06,2.5053,9.0541,11.049
ANTO.L,2021-09-07,2.5053,9.0541,11.049
ANTO.L,2021-09-08,2.5053,9.0541,11.049
ANTO.L,2021-09-09,2.5053,9.0541,11.049
ANTO.L,2021-09-10,2.5053,9.0541,11.049
ANTO.L,2021-09-11,2.5053,9.0541,11.049
ANTO.L,2021-09-12,2.5053,9.0541,11.049
ANTO.L,2021-09-13,2.5053,9.0541,11.049
ANTO.L,2021-09-14,2.5053,9.0541,11.049
ANTO.L,2021-09-15,2.5053,9.0541,11.049
ANTO.L,2021-09-16,2.5053,9.0541,11.049
ANTO.L,2021-09-17,2.5053,9.0541,11.049
ANTO.L,2021-09-18,2.5053,9.0541,11.049
ANTO.L,2021-09-19,2.5053,9.0541,11.049
ANTO.L,2021-09-20,2.5053,9.0541,11.049
ANTO.L,2021-09-21,2.5053,9.0541,11.049
ANTO.L,2021-09-22,2.5053,9.0541,11.049
ANTO.L,2021-09-23,2.5053,9.0541,11.049
ANTO.L,2021-09-24,2.5053,9.0541,11.049
ANTO.L,2021-09-25,2.5053,9.0541,11.049
ANTO.L,2021-09-26,2.5053,9.0541,11.049
ANTO.L,2021-09-27,2.5053,9.0541,11.049
ANTO.L,2021-09-28,2.5053,9.0541,11.049
ANTO.L,2021-09-29,2.5053,9.0541,11.049
ANTO.L,2021-09-30,2.5053,9.0541,11.049
ANTO.L,2021-10-01,2.5053,9.0541,11.049
ANTO.L,2021-10-02,2.5053,9.0541,11.049
ANTO.L,2021-10-03,2.5053,9.0541,11.049
ANTO.L,2021-10-04,2.5053,9.0541,11.049
ANTO.L,2021-10-05,2.5053,9.0541,11.049
ANTO.L,2021-10-06,2.5053,9.0541,11.049
ANTO.L,2021-10-07,2.5053,9.0541,11.049
ANTO.L,2021-10-08,2.5053,9.0541,11.049
ANTO.L,2021-10-09,2.5053,9.0541,11.049
ANTO.L,2021-10-10,2.5053,9.0541,11.049
ANTO.L,2021-10-11,2.5053,9.0541,11.049
ANTO.L,2021-10-12,2.5053,9.0541,11.049
ANTO.L,2021-10-13,2.5053,9.0541,11.049
ANTO.L,2021-10-14,2.5053,9.0541,11.049
ANTO.L,2021-10-15,2.5053,9.0541,11.049
ANTO.L,2021-10-16,2.5053,9.0541,11.049
ANTO.L,2021-10-17,2.5053,9.0541,11.049
ANTO.L,2021-10-18,2.5053,9.0541,11.049
ANTO.L,2021-10-19,2.5053,9.0541,11.049
ANTO.L,2021-10-20,2.5053,9.0541,11.049
ANTO.L,2021-10-21,2.5053,9.0541,11.049
ANTO.L,2021-10-22,2.5053,9.0541,11.049
ANTO.L,2021-10-23,2.5053,9.0541,11.049
ANTO.L,2021-10-24,2.5053,9.0541,11.049
ANTO.L,2021-10-25,2.5053,9.0541,11.049
ANTO.L,2021-10-26,2.5053,9.0541,11.049
ANTO.L,2021-10-27,2.5053,9.0541,11.049
ANTO.L,2021-10-28,2.5053,9.0541,11.049
ANTO.L,2021-10-29,2.5053,9.0541,11.049
ANTO.L,2021-10-30,2.5053,9.0541,11.049
ANTO.L,2021-10-31,2.5053,9.0541,11.049
ANTO.L,2021-11-01,2.5053,9.0541,11.049
ANTO.L,2021-11-02,2.5053,9.0541,11.049
ANTO.L,2021-11-03,2.5053,9.0541,11.049
ANTO.L,2021-11-04,2.5053,9.0541,11.049
ANTO.L,2021-11-05,2.5053,9.0541,11.049
ANTO.L,2021-11-06,2.5053,9.0541,11.049
ANTO.L,2021-11-07,2.5053,9.0541,11.049
ANTO.L,2021-11-08,2.5053,9.0541,11.049
ANTO.L,2021-11-09,2.5053,9.0541,11.049
ANTO.L,2021-11-10,2.5053,9.0541,11.049
ANTO.L,2021-11-11,2.5053,9.0541,11.049
ANTO.L,2021-11-12,2.5053,9.0541,11.049
ANTO.L,2021-11-13,2.5053,9.0541,11.049
ANTO.L,2021-11-14,2.5053,9.0541,11.049
ANTO.L,2021-11-15,2.5053,9.0541,11.049
ANTO.L,2021-11-16,2.5053,9.0541,11.049
ANTO.L,2021-11-17,2.5053,9.0541,11.049
ANTO.L,2021-11-18,2.5053,9.0541,11.049
ANTO.L,2021-11-19,2.5053,9.0541,11.049
ANTO.L,2021-11-20,2.5053,9.0541,11.049
ANTO.L,2021-11-21,2.5053,9.0541,11.049
ANTO.L,2021-11-22,2.5053,9.0541,11.049
ANTO.L,2021-11-23,2.5053,9.0541,11.049
ANTO.L,2021-11-24,2.5053,9.0541,11.049
ANTO.L,2021-11-25,2.5053,9.0541,11.049
ANTO.L,2021-11-26,2.5053,9.0541,11.049
ANTO.L,2021-11-27,2.5053,9.0541,11.049
ANTO.L,2021-11-28,2.5053,9.0541,11.049
ANTO.L,2021-11-29,2.5053,9.0541,11.049
ANTO.L,2021-11-30,2.5053,9.0541,11.049
ANTO.L,2021-12-01,2.5053,9.0541,11.049
ANTO.L,2021-12-02,2.5053,9.0541,11.049
ANTO.L,2021-12-03,2.5053,9.0541,11.049
ANTO.L,2021-12-04,2.5053,9.0541,11.049
ANTO.L,2021-12-05,2.5053,9.0541,11.049
ANTO.L,2021-12-06,2.5053,9.0541,11.049
ANTO.L,2021-12-07,2.5053,9.0541,11.049
ANTO.L,2021-12-08,2.5053,9.0541,11.049
ANTO.L,2021-12-09,2.5053,9.0541,11.049
ANTO.L,2021-12-10,2.5053,9.0541,11.049
ANTO.L,2021-12-11,2.5053,9.0541,11.049
ANTO.L,2021-12-12,2.5053,9.0541,11.049
ANTO.L,2021-12-13,2.5053,9.0541,11.049
ANTO.L,2021-12-14,2.5053,9.0541,11.049
ANTO.L,2021-12-15,2.5053,9.0541,11.049
ANTO.L,2021-12-16,2.5053,9.0541,11.049
ANTO.L,2021-12-17,2.5053,9.0541,11.049
ANTO.L,2021-12-18,2.5053,9.0541,11.049
ANTO.L,2021-12-19,2.5053,9.0541,11.049
ANTO.L,2021-12-20,2.5053,9.0541,11.049
ANTO.L,2021-12-21,2.5053,9.0541,11.049
ANTO.L,2021-12-22,2.5053,9.0541,11.049
ANTO.L,2021-12-23,2.5053,9.0541,11.049
ANTO.L,2021-12-24,2.5053,9.0541,11.049
ANTO.L,2021-12-25,2.5053,9.0541,11.049
ANTO.L,2021-12-26,2.5053,9.0541,11.049
ANTO.L,2021-12-27,2.5053,9.0541,11.049
ANTO.L,2021-12-28,2.5053,9.0541,11.049
ANTO.L,2021-12-29,2.5053,9.0541,11.049
ANTO.L,2021-12-30,2.5053,9.0541,11.049
ANTO.L,2021-12-31,2.138,20.5243,13.1914
AOO.BR,2021-01-01,1.4438,6.8119,
AOO.BR,2021-01-02,1.4438,6.8119,
AOO.BR,2021-01-03,1.4438,6.8119,
AOO.BR,2021-01-04,1.4438,6.8119,
AOO.BR,2021-01-05,1.4438,6.8119,
AOO.BR,2021-01-06,1.4438,6.8119,
AOO.BR,2021-01-07,1.4438,6.8119,
AOO.BR,2021-01-08,1.4438,6.8119,
AOO.BR,2021-01-09,1.4438,6.8119,
AOO.BR,2021-01-10,1.4438,6.8119,
AOO.BR,2021-01-11,1.4438,6.8119,
AOO.BR,2021-01-12,1.4438,6.8119,
AOO.BR,2021-01-13,1.4438,6.8119,
AOO.BR,2021-01-14,1.4438,6.8119,
AOO.BR,2021-01-15,1.4438,6.8119,
AOO.BR,2021-01-16,1.4438,6.8119,
AOO.BR,2021-01-17,1.4438,6.8119,
AOO.BR,2021-01-18,1.4438,6.8119,
AOO.BR,2021-01-19,1.4438,6.8119,
AOO.BR,2021-01-20,1.4438,6.8119,
AOO.BR,2021-01-21,1.4438,6.8119,
AOO.BR,2021-01-22,1.4438,6.8119,
AOO.BR,2021-01-23,1.4438,6.8119,
AOO.BR,2021-01-24,1.4438,6.8119,
AOO.BR,2021-01-25,1.4438,6.8119,
AOO.BR,2021-01-26,1.4438,6.8119,
AOO.BR,2021-01-27,1.4438,6.8119,
AOO.BR,2021-01-28,1.4438,6.8119,
AOO.BR,2021-01-29,1.4438,6.8119,
AOO.BR,2021-01-30,1.4438,6.8119,
AOO.BR,2021-01-31,1.4438,6.8119,
AOO.BR,2021-02-01,1.4438,6.8119,
AOO.BR,2021-02-02,1.4438,6.8119,
AOO.BR,2021-02-03,1.4438,6.8119,
AOO.BR,2021-02-04,1.4438,6.8119,
AOO.BR,2021-02-05,1.4438,6.8119,
AOO.BR,2021-02-06,1.4438,6.8119,
AOO.BR,2021-02-07,1.4438,6.8119,
AOO.BR,2021-02-08,1.4438,6.8119,
AOO.BR,2021-02-09,1.4438,6.8119,
AOO.BR,2021-02-10,1.4438,6.8119,
AOO.BR,2021-02-11,1.4438,6.8119,
AOO.BR,2021-02-12,1.4438,6.8119,
AOO.BR,2021-02-13,1.4438,6.8119,
AOO.BR,2021-02-14,1.4438,6.8119,
AOO.BR,2021-02-15,1.4438,6.8119,
AOO.BR,2021-02-16,1.4438,6.8119,
AOO.BR,2021-02-17,1.4438,6.8119,
AOO.BR,2021-02-18,1.4438,6.8119,
AOO.BR,2021-02-19,1.4438,6.8119,
AOO.BR,2021-02-20,1.4438,6.8119,
AOO.BR,2021-02-21,1.4438,6.8119,
AOO.BR,2021-02-22,1.4438,6.8119,
AOO.BR,2021-02-23,1.4438,6.8119,
AOO.BR,2021-02-24,1.4438,6.8119,
AOO.BR,2021-02-25,1.4438,6.8119,
AOO.BR,2021-02-26,1.4438,6.8119,
AOO.BR,2021-02-27,1.4438,6.8119,
AOO.BR,2021-02-28,1.4438,6.8119,
AOO.BR,2021-03-01,1.4438,6.8119,
AOO.BR,2021-03-02,1.4438,6.8119,
AOO.BR,2021-03-03,1.4438,6.8119,
AOO.BR,2021-03-04,1.4438,6.8119,
AOO.BR,2021-03-05,1.4438,6.8119,
AOO.BR,2021-03-06,1.4438,6.8119,
AOO.BR,2021-03-07,1.4438,6.8119,
AOO.BR,2021-03-08,1.4438,6.8119,
AOO.BR,2021-03-09,1.4438,6.8119,
AOO.BR,2021-03-10,1.4438,6.8119,
AOO.BR,2021-03-11,1.4438,6.8119,
AOO.BR,2021-03-12,1.4438,6.8119,
AOO.BR,2021-03-13,1.4438,6.8119,
AOO.BR,2021-03-14,1.4438,6.8119,
AOO.BR,2021-03-15,1.4438,6.8119,
AOO.BR,2021-03-16,1.4438,6.8119,
AOO.BR,2021-03-17,1.4438,6.8119,
AOO.BR,2021-03-18,1.4438,6.8119,
AOO.BR,2021-03-19,1.4438,6.8119,
AOO.BR,2021-03-20,1.4438,6.8119,
AOO.BR,2021-03-21,1.4438,6.8119,
AOO.BR,2021-03-22,1.4438,6.8119,
AOO.BR,2021-03-23,1.4438,6.8119,
AOO.BR,2021-03-24,1.4438,6.8119,
AOO.BR,2021-03-25,1.4438,6.8119,
AOO.BR,2021-03-26,1.4438,6.8119,
AOO.BR,2021-03-27,1.4438,6.8119,
AOO.BR,2021-03-28,1.4438,6.8119,
AOO.BR,2021-03-29,1.4438,6.8119,
AOO.BR,2021-03-30,1.4438,6.8119,
AOO.BR,2021-03-31,1.4438,6.8119,
AOO.BR,2021-04-01,1.4438,6.8119,
AOO.BR,2021-04-02,1.4438,6.8119,
AOO.BR,2021-04-03,1.4438,6.8119,
AOO.BR,2021-04-04,1.4438,6.8119,
AOO.BR,2021-04-05,1.4438,6.8119,
AOO.BR,2021-04-06,1.4438,6.8119,
AOO.BR,2021-04-07,1.4438,6.8119,
AOO.BR,2021-04-08,1.4438,6.8119,
AOO.BR,2021-04-09,1.4438,6.8119,
AOO.BR,2021-04-10,1.4438,6.8119,
AOO.BR,2021-04-11,1.4438,6.8119,
AOO.BR,2021-04-12,1.4438,6.8119,
AOO.BR,2021-04-13,1.4438,6.8119,
AOO.BR,2021-04-14,1.4438,6.8119,
AOO.BR,2021-04-15,1.4438,6.8119,
AOO.BR,2021-04-16,1.4438,6.8119,
AOO.BR,2021-04-17,1.4438,6.8119,
AOO.BR,2021-04-18,1.4438,6.8119,
AOO.BR,2021-04-19,1.4438,6.8119,
AOO.BR,2021-04-20,1.4438,6.8119,
AOO.BR,2021-04-21,1.4438,6.8119,
AOO.BR,2021-04-22,1.4438,6.8119,
AOO.BR,2021-04-23,1.4438,6.8119,
AOO.BR,2021-04-24,1.4438,6.8119,
AOO.BR,2021-04-25,1.4438,6.8119,
AOO.BR,2021-04-26,1.4438,6.8119,
AOO.BR,2021-04-27,1.4438,6.8119,
AOO.BR,2021-04-28,1.4438,6.8119,
AOO.BR,2021-04-29,1.4438,6.8119,
AOO.BR,2021-04-30,1.4438,6.8119,
AOO.BR,2021-05-01,1.4438,6.8119,
AOO.BR,2021-05-02,1.4438,6.8119,
AOO.BR,2021-05-03,1.4438,6.8119,
AOO.BR,2021-05-04,1.4438,6.8119,
AOO.BR,2021-05-05,1.4438,6.8119,
AOO.BR,2021-05-06,1.4438,6.8119,
AOO.BR,2021-05-07,1.4438,6.8119,
AOO.BR,2021-05-08,1.4438,6.8119,
AOO.BR,2021-05-09,1.4438,6.8119,
AOO.BR,2021-05-10,1.4438,6.8119,
AOO.BR,2021-05-11,1.4438,6.8119,
AOO.BR,2021-05-12,1.4438,6.8119,
AOO.BR,2021-05-13,1.4438,6.8119,
AOO.BR,2021-05-14,1.4438,6.8119,
AOO.BR,2021-05-15,1.4438,6.8119,
AOO.BR,2021-05-16,1.4438,6.8119,
AOO.BR,2021-05-17,1.4438,6.8119,
AOO.BR,2021-05-18,1.4438,6.8119,
AOO.BR,2021-05-19,1.4438,6.8119,
AOO.BR,2021-05-20,1.4438,6.8119,
AOO.BR,2021-05-21,1.4438,6.8119,
AOO.BR,2021-05-22,1.4438,6.8119,
AOO.BR,2021-05-23,1.4438,6.8119,
AOO.BR,2021-05-24,1.4438,6.8119,
AOO.BR,2021-05-25,1.4438,6.8119,
AOO.BR,2021-05-26,1.4438,6.8119,
AOO.BR,2021-05-27,1.4438,6.8119,
AOO.BR,2021-05-28,1.4438,6.8119,
AOO.BR,2021-05-29,1.4438,6.8119,
AOO.BR,2021-05-30,1.4438,6.8119,
AOO.BR,2021-05-31,1.4438,6.8119,
AOO.BR,2021-06-01,1.4438,6.8119,
AOO.BR,2021-06-02,1.4438,6.8119,
AOO.BR,2021-06-03,1.4438,6.8119,
AOO.BR,2021-06-04,1.4438,6.8119,
AOO.BR,2021-06-05,1.4438,6.8119,
AOO.BR,2021-06-06,1.4438,6.8119,
AOO.BR,2021-06-07,1.4438,6.8119,
AOO.BR,2021-06-08,1.4438,6.8119,
AOO.BR,2021-06-09,1.4438,6.8119,
AOO.BR,2021-06-10,1.4438,6.8119,
AOO.BR,2021-06-11,1.4438,6.8119,
AOO.BR,2021-06-12,1.4438,6.8119,
AOO.BR,2021-06-13,1.4438,6.8119,
AOO.BR,2021-06-14,1.4438,6.8119,
AOO.BR,2021-06-15,1.4438,6.8119,
AOO.BR,2021-06-16,1.4438,6.8119,
AOO.BR,2021-06-17,1.4438,6.8119,
AOO.BR,2021-06-18,1.4438,6.8119,
AOO.BR,2021-06-19,1.4438,6.8119,
AOO.BR,2021-06-20,1.4438,6.8119,
AOO.BR,2021-06-21,1.4438,6.8119,
AOO.BR,2021-06-22,1.4438,6.8119,
AOO.BR,2021-06-23,1.4438,6.8119,
AOO.BR,2021-06-24,1.4438,6.8119,
AOO.BR,2021-06-25,1.4438,6.8119,
AOO.BR,2021-06-26,1.4438,6.8119,
AOO.BR,2021-06-27,1.4438,6.8119,
AOO.BR,2021-06-28,1.4438,6.8119,
AOO.BR,2021-06-29,1.4438,6.8119,
AOO.BR,2021-06-30,1.4438,6.8119,
AOO.BR,2021-07-01,1.4438,6.8119,
AOO.BR,2021-07-02,1.4438,6.8119,
AOO.BR,2021-07-03,1.4438,6.8119,
AOO.BR,2021-07-04,1.4438,6.8119,
AOO.BR,2021-07-05,1.4438,6.8119,
AOO.BR,2021-07-06,1.4438,6.8119,
AOO.BR,2021-07-07,1.4438,6.8119,
AOO.BR,2021-07-08,1.4438,6.8119,
AOO.BR,2021-07-09,1.4438,6.8119,
AOO.BR,2021-07-10,1.4438,6.8119,
AOO.BR,2021-07-11,1.4438,6.8119,
AOO.BR,2021-07-12,1.4438,6.8119,
AOO.BR,2021-07-13,1.4438,6.8119,
AOO.BR,2021-07-14,1.4438,6.8119,
AOO.BR,2021-07-15,1.4438,6.8119,
AOO.BR,2021-07-16,1.4438,6.8119,
AOO.BR,2021-07-17,1.4438,6.8119,
AOO.BR,2021-07-18,1.4438,6.8119,
AOO.BR,2021-07-19,1.4438,6.8119,
AOO.BR,2021-07-20,1.4438,6.8119,
AOO.BR,2021-07-21,1.4438,6.8119,
AOO.BR,2021-07-22,1.4438,6.8119,
AOO.BR,2021-07-23,1.4438,6.8119,
AOO.BR,2021-07-24,1.4438,6.8119,
AOO.BR,2021-07-25,1.4438,6.8119,
AOO.BR,2021-07-26,1.4438,6.8119,
AOO.BR,2021-07-27,1.4438,6.8119,
AOO.BR,2021-07-28,1.4438,6.8119,
AOO.BR,2021-07-29,1.4438,6.8119,
AOO.BR,2021-07-30,1.4438,6.8119,
AOO.BR,2021-07-31,1.4438,6.8119,
AOO.BR,2021-08-01,1.4438,6.8119,
AOO.BR,2021-08-02,1.4438,6.8119,
AOO.BR,2021-08-03,1.4438,6.8119,
AOO.BR,2021-08-04,1.4438,6.8119,
AOO.BR,2021-08-05,1.4438,6.8119,
AOO.BR,2021-08-06,1.4438,6.8119,
AOO.BR,2021-08-07,1.4438,6.8119,
AOO.BR,2021-08-08,1.4438,6.8119,
AOO.BR,2021-08-09,1.4438,6.8119,
AOO.BR,2021-08-10,1.4438,6.8119,
AOO.BR,2021-08-11,1.4438,6.8119,
AOO.BR,2021-08-12,1.4438,6.8119,
AOO.BR,2021-08-13,1.4438,6.8119,
AOO.BR,2021-08-14,1.4438,6.8119,
AOO.BR,2021-08-15,1.4438,6.8119,
AOO.BR,2021-08-16,1.4438,6.8119,
AOO.BR,2021-08-17,1.4438,6.8119,
AOO.BR,2021-08-18,1.4438,6.8119,
AOO.BR,2021-08-19,1.4438,6.8119,
AOO.BR,2021-08-20,1.4438,6.8119,
AOO.BR,2021-08-21,1.4438,6.8119,
AOO.BR,2021-08-22,1.4438,6.8119,
AOO.BR,2021-08-23,1.4438,6.8119,
AOO.BR,2021-08-24,1.4438,6.8119,
AOO.BR,2021-08-25,1.4438,6.8119,
AOO.BR,2021-08-26,1.4438,6.8119,
AOO.BR,2021-08-27,1.4438,6.8119,
AOO.BR,2021-08-28,1.4438,6.8119,
AOO.BR,2021-08-29,1.4438,6.8119,
AOO.BR,2021-08-30,1.4438,6.8119,
AOO.BR,2021-08-31,1.4438,6.8119,
AOO.BR,2021-09-01,1.4438,6.8119,
AOO.BR,2021-09-02,1.4438,6.8119,
AOO.BR,2021-09-03,1.4438,6.8119,
AOO.BR,2021-09-04,1.4438,6.8119,
AOO.BR,2021-09-05,1.4438,6.8119,
